tweet,sentiment
eso de echar de menos tu propia casa son leyendas urbanas ,1
echo de menos las sudaderas y los pantalones largos ,2
quiero mimos. y un zumo de naranja. estoy enfermita ,2
a ver se que mido menos de ' pero que no tengo  aos o sea os lo digo en serio no tengo  aos ,2
yo a las  a no puedo dormir *se pone a ver peppa pig*esto es peor ,2
"buenos dias, vamos a hacer algunos recados y a empezar el dia con energia!! ",1
sabes que tu vida es muy puta cuando empiezas las clases en menos de una semana ,2
acaso se nota que extrao muchisimo a irene y a luciaa. es una broma esto ,2
"que en horas estemos en septiembre, perdona??  junio dnde stas ",2
vas tranquilo por la calle y por la cara te encuentras a una persona que no tienes ganas de ver ,2
"noemi duerme y yo estoy abandonada, hacedme caso ",2
que me dejen de llegar correos de la universidad cuando estoy en el pueblo por favor ,2
quiero hacer un video en youtube desahogandome ,2
la escena spoby es tan bonita y tan triste y no paro de llorar damn ,0
no me pongais galantis que pienso en el arenal y lloro ,2
creo que voy a hacer nuggets vegetarianos y patatas porque no se que hacer de comer y ,2
increible el directo de hoy me lo he pasado  de puta madre muchisimas gracias a todos ,1
quiero que alguien me diga cosas bonitas ,2
quita rubiete el stream y me hago un vs impresionante ,0
tambien me gustaria jugar a la beta abierta de battlefield. pero no se a que hora sale ,2
"que deprimente, maana ya sepriembre. que se acaban las vacaciones!! ",2
quiero ver no apagues la luz y nadie viene conmigo ,2
lo bueno es que ya puedo echar un vistazo al libro de arte sin spoilearme ,1
y ya me tiene que gustar si el segundo esta basado en rebelion en la granja imaginaos ,0
iba a sacar a la perra y se me ha quedado la rodilla pillada ,2
bueno que buenas noches tras el bajon de las : ,2
lo que me hace gracia es que os deis cuenta de que santapo es subnormal ahora ,2
a pesar de todo..veo sorpresa en el bernabeu..llamadme loca ,0
hay algunos shojos de comedia romantica que me gustaria que se centraran un poco mas en lo romantico ,2
"a estas horas hace un mes estaba nerviosa no, lo siguiente porque le veia y ahora ",0
"con lo cual he abierto todas las ventanas y he conectado el movil a los altavoces, a ver si ahora suena mejor ",1
una chamana/curandera/partera veterana asexual seria un buen personaje para mi historia ,1
"me veo toda la noche mirando al techo y rayado, quee bien ",2
el bloqueo -en vez del mute- es en realidad una medida para reducir el ridiculo para los que no saben que existe el screenshot ,0
"iba a hacer lo de mi y medio llenando mi vacio, pero me puede la pereza ",2
se me ha puesto una araa en la pierna y he montado un espectaculo en una terrazas ,2
"no se si hacerla rabiar y seguir pinchando o ya sudar, es que estoy cabreada ",2
"pobre ilusa yo, pense que me hariais algo de caso por una vez ",2
"luego lo mas seguro haga periscope, alguien me va a ver? ",-1
cuando contrato mbs extra y llevo consumido  gb twlaugh cuando vea la factura no habra tanta risa ,2
hulkenberg con ese cohete en recta es siempre complicado de adelantar. se han ido demasiado ricciardo y rosberg ,2
"a piper no le gusta que robe en las casas ni a la gente, piper se ha ido a la basura junto a albondiga ",2
"que bien, cuando marca el madrid a mi portatil le apetece darme un pantallazo azul y reiniciarse ",2
cuando tienes spotify vinculado a facebook y te borras la cuenta de este ultimo.. ,2
"y volvedme a llamar a mi xfavor, que yo tambien quiero hablar con vosotras  y deejad a lidia tranquila ",2
"la bso de titanic en radio clasica, me voy a morir de la depresion ",2
pues casi km que le he metido al pobre coche estos  dias ,2
vengo hasta carabanchel para estudiar pero la biblioteca esta cerrada ,2
"lo de quedarse sola en casa sonaba a planazo de domingo, hasta que me doy cuenta de que no hay dulces en casa ",2
la figura de magearna se esta retrasando un poco  es raro en ese vendedor  aunque normalmente le pido un pack grande ,2
que bonito fue aquel mes en el que vivi sola y nadie me hacia un interrogatorio cada vez que llegaba a casa ,2
"dormir  horas, despertarte y ver la pantalla de movil rajada ",2
mira que cucada  le he puesto hasta el lacito que llevaba el de ash  twurl,1
"buenas noches  ha sido un buen, aunque caluroso, fin de semana o/",1
una go-pro de calidad! proteccion bajo el agua y soporte de cabeza  porq ago tantas caras..ok en fin!,1
os recordamos que tenemos una encuesta para premiar las mejores tiendas del pais.. visitad el enlace y votar  twurl,-1
quiero tomarme una tila pero me da miedo quedarme atontada maana ,2
esta tocando bolbora en mi pueblo y yo en la cama con  de fiebre ,2
"harvey es tan bonito con las fans que mira me quiero matar, quiero verlo ",1
y tambien dice caca solo que no me ha dado tiempo a grabarle ,2
maana tengo que ir otra vez al medico y seguro que me vuelven a decir que no puedo beber alcohol ,2
"gracias a toda la gente que dio  a mi mensaje de buscar clan. he conseguido ser suplente adc en dragonszgaming,con ganas ",1
me he puesto a pensar una cosa y me estoy despollando sola en la habitacion. que pena doy ,2
pa kuando la siguiente temporada de rick y morty ,2
pa kuando la siguiente temporada de juego de tronos ,2
pa kuando la siguiente temporada de orphan black ,2
"me encanta cuando alguien viene a comer, y cuando empiezan a hablar de mis decisiones academicas y tengo que irme para no explotar ",2
"entiendo que mi tarjeta grafica se muera, lo que no entiendo es porque puedo ver algunos videos y otros no.. ",2
es que no habia otra opcion y necesitaba algo grasiento para curarme de la resaca ,2
que rapido pasa el tiempo solo se que cobro cada mes y ni me da tiempo a gastar ,2
lo del curiouscat parece interesante. creo que me voy a hacer uno a ver que tal ,1
no quiero que troye se haga famoso  que luego empiezan todas las de mi ciudad a mojabraguear ,2
"maana vuelta de vacaciones, lunes, ola de calor , si me quereis secuestrarme ",2
seria tan bonito que la gente comentase mis historias y no solo les diese like. ,2
"las partidas en la beta de battlefield  con amigos son lo mejor del mundo, las risas que me echo no son normales ",1
"me afeite hace dos dias y no me puedo arrepentir mas. ahora aprece que tengo  aos, y no me toman en serio ",2
meses cogiendo peso y ahora bajo  kilos en una semana ,1
hohenheim - me fui por tabaco y me converti en una piedra filosofal. - ed me llamo papa - mori con una sonrisa.  twurl,-1
"penoso lo de hoy, pensando en que hacer en el futuro.. gracias a toda la gente que ha estado en el stream ",0
"las imagenes del fuego en javea son terribles, vaya forma de acabar el verano ",2
sensacionalismo barato. como echo de menos milenio  ,2
"que bonito es estar del otro lado del charco, sin recepcion para evitar hacer llamadas en la peda.! ",1
acabo de perder un video de gabri y yo en la historia de instagram que era genial ,2
en la baera ahogada sueo hecho realidad por favor ,0
tan ridiculo como que llegueis a un movimiento que no es vuestro y trateis de hacerlo todo a vuestro puetero gusto ,2
hoy es mi ultimo dia de vacaciones y lo mas emocionante de mi dia ha sido hacer el puzzle de sunggyu ,2
yo queria que callie y wyatt siguiesen juntos ,2
os acordais cuando decia bighit podrias sacar una pelicula o algo explicandolo todo gracias ,1
"y claro, como ella me ve fea y gorda pues lo que hay, da gusto vivir con alguien asi ",2
unios a el en vez de venir a dar por culo a las feministas si tanto os jode nuestro movimiento ,2
y ya estoy en ese momento en el que estoy suscrito a los boletines de  embajadas y sus correspondientes agencias de investigacion ,0
me siento tan indefensa cuando me pinto las uas de los pies y las manos ,2
"increible pero cierto, hoy hay  video en el  canal  poco a poco volvemos a la actividad, despues de un descanso tengo muchas ganas ",1
muy preocupada porque no me crecen mas uas desde que intente pegar las postizas con superglu en vez de con el pegamento cosmetico ,2
"hoy he visto cazafantasmas por fin. aunque no ha sido un peliculon (para mi), me ha mantenido entretenido las dos horas que dura ",1
tarta pintada con pigmentos comestibles!  by belensalinasart  cuando los productos son % twurl,-1
"me voy a las  a madrid y me esperan  horitas en un autobus, seguramnete lleno de gente, porque mi suerte funciona asi ",2
estais por aqui para publicar el preguntas y respuestas del especial que? manifestarse locos ,-1
me veia hermosa con ese septum  me lo voy a poner otra vez se que os suda la polla pero pa eso esta twitter twurl,1
maana me sacan sangre y tengo que ir en ayunas. dadme animos ante esta situacion tan heavy que me esta tocando vivir ,2
algo bueno que le puedo encontrar al incendio de villava es que esta tan cerca del instituto.. seria una pena que se quemase.. ,1
posiblemente lo que mas la mente es no tener una buena grafica para este juegazo  ayy,2
echo de menos las barras libres del tangara.. aunque despues tuviera las resacas del siglo ,0
os juro que a veces hacer el encaje pah un realista mas bien lo que hace es joderme la vida ,2
"nunca me has decepcionado como persona. eres alguien genial, te quiero mucho y ojala vernos mas",1
asi que paso ojala me salga maana bien griego ,2
"se me han vuelto a estropear los auriculares de verdad como lo odio, sin auriculares no vivo ",2
"p si que miro las confesiones del curiouscat pero no puedo responderlas. desde aqui gracias, tio ",0
que gustazo me da que espaa le gane a belgica en su puta casa y encima con goles de un canario ! ,1
tengo que hacer resumen de sociales de  temas y todos los ejercicios de  temas  me suicido ya?,2
"bienvenido septiembre, mes de vuelta a las rutinas y de nuevos propositos ",1
anoche me cabree y me fui a dormir sin felicitarlos  un premio a mi gran persona ,2
cuantas veces me habre arrepentido de no haber saludado a alguien en bote ,2
aveces pienso que podria pintarme las uas de otro color que no fuese negro pero es que solo me gustan negras ,0
"en fin, ya veis lo duro que es comer solo hojas, la mala pinta que tiene y lo mal que sabe ",2
quiero hacerme las mechas rubio claro ya ,-1
la segunda parte del tuit anterior me lo he inventado ,-1
"mcs quereis un header como los que hicimos ayer? hablanos, colabora y echate un free para nosotros y sera vuestro.  se agradece  ",-1
de verdad hay que esperar hasta el verano que viene para ver la nueva temporada de juego de tronos?? que habremos hecho para merecer esto ,2
venezuela quiere cambio. esa mala maa de no dar vuelto no se aguanta. chao ,2
quiero ir al carrefour a por mas sobres de star wars ,0
"hola que tal, yo esta noche me tengo que curar sola los puntos y soy muy inutil para quitarme incluso el aposito  todo bien.",2
ojala alguien me dibujada con un vestido muy bonito ,1
no me puedo creer que se haya acabado uno de los mejores agostos de mi vida ,2
"hablando en serio, como no apruebe matematicas me tiro desde la ventana de mi cuarto, que es un decimo y asi no sobrevivo ",2
que los gp de la caixa (y otros) manipulen el ibex es una bendicio gracias a ellos podemos arraar alg son autenticos pardillos ,2
acabo de soar una cosa muy rara y pues ,-1
quiero entrar en algun grupo de whatsapp feminista o lgtbfriendly ,-1
el descarado afan de la caixa por empujar las cotizaciones les esta delatando. es la pauta del  de mayo..kung fu ,2
"pobrecitxs, siempre estan acostumbrados a follar poco y luego estoy yo ",2
"que triste, ahora entiendo a mis amigos con el tema del sexo ",2
"te hago un favor, te dejo criticarme porque se que no tienes cosas mejores en tu vida que hacer. ",2
lo unico que no me gusta de twitter es que no hay espacio suficiente para poner los creditos de las fotos y encima decir algo ,2
y aqui falt que a medida que san gil iba oficiando la misa el pecado se fue borrando ,2
indispensables para maan  estuche  calculadora  vaselina ,-1
despierta desde las  por los nervios osea  relajate de una maldita vez isabel.,2
"alla vamos con un nuevo mes.. muuchas, muuchas cosas nuevas este mes!  twurl",1
"tenemos que investir un gobierno, cada vez que vamos a elecciones los venezolanos lo pasan mal ",2
"estoy bien  muchas gracias a aquellos que preguntais, el problema es que hoy no me dieron cita.. dijeron que imposible",0
tengo tantas ideas y tantas cosas nuevas pensadas para hacer y tan pocos medios.. ,0
gracioso que se puedan acercar hasta los videos twlaugh ,1
llevo dos semanas con los efectos secundarios de mi quemadura del hombro ,2
anoche al final vi una pelicula romantica y me quede en casa de mi prima ,1
tengo un anime de chicas luchadoras muy fuertes. no soy akira toriyama ni guionista de cine. pero me gusta la idea. ,1
miradme twlaugh aqui haciendo la ciencia twlaugh  nunca lo entenderiais sois prescindibles,2
no me acaba de matar que nicky vuelva al futbol.. me gusto mucho su cd en solitario ,1
"ando pillada de tiempo y esto no me deja mandar mp, a ver cuando podemos comentar  un besazo!",2
voy a ir al concierto de malu en buenos aires a ver si asi la abrazo de una puta vez ,1
lo unico que pido es tener porros cuando salga ,1
"la vida hay que verla de manera optimista. hay que luchar, hay que ser fuertes ante todo. ",1
"hasta tal punto, que al comprar las entradas no hay opcion de coger la vip, pero aun asi ellas por arte de magia la tienen ",1
gran decision  gran actor y maestro de artes marciales!! twurl,1
buenos dias amigos de facebook  volvemos a tener granizados de twurl,1
"vaya, con lo poco que me gusta tirar de imaginacion en los examenes. el % de las ocasiones son paridas ",2
lo he puntuado con . estrellas y me ha dolido bc tenia expectativas muy altas y me ha decepcionado un poco ,2
"buenos dias, el televisor se te averio, no hay problema, estamos en getafe, consultanos en el .  twurl",-1
"google se ha enterado de que estoy embarazada y se ha liado parda, toca cerrar gmail sino no hay quien curre ",0
el tio que esta delante mia en el ambulatorio lleva una camiseta chulisima de dark souls ,1
la situacion de anoche  la unica soltera del grupo ,1
"voy a jugar mi primera ranked de . hmm no se si la liare o no, pero bronce v me espera y maana jugare poco o nada, so a jugarsela ",1
y no es asi es asi  ay perdona  y aa no me has insultado por corregirte dame un abrazo por favor,-1
paola por que tienes un colgante como esvastica pero mas cuki? koalau es un lauburu tia  ahora la quiero menos,2
han aparecido unas nias jugando a las palmas pero estaban jugando mal. muy mal.  esas nias tambien me caen mal ,2
entonces era lo moderno pero lo interesante es pensar en que valor tienen hoy las figuras de los acetatos  disgnostic semidesfasadas,-1
de verdad ojala hacerme fotos bonitas ,1
que puta mierda estar sin tarjetas gracias al puto banco ,2
 horas seguidas sin parar  me duele la espalda la vida y media   p sigo recortando  twurl,2
quiero un puzzle grandote y bonito para viciarme tras los examenes.. ,1
"+ a vosotros, y siempre intento daros bola y responder a vuestras cosas.  pero bueno, se ve que no es suficiente ",0
"he soado que estaba soando y me he tenido que despertar dos veces, la mejor experiencia de mi vida ",1
este mal no se le deseo a nadie esto es peor que tener fiebre un viernes ,2
"bueno las  primeras de overwatch  ganadas, empate y  perdidas  putos que me situa en la liga de oro,no bad ",1
y sigan criticandome hablando paja de mi que yo seguire viajando y dandome la vida que yo quiera. ,2
y lo que se sabe no se preguntan para el dolor de muchos no soy pita soy scort  no cobro dos lochas ni doy culo gratis como muchos.,2
"estoy demasiado loca, lo admito, creo que eso es lo que a muchos les gusta de mi. entonces soy feliz, porque asi soy ",1
me podrian recomendar alguna pelicula antigua que les guste?  muchas gracias ,-1
me rayo mucho con cosas que son una tonteria y asi de chachi bien me va ,2
estoy viviendo un drama porque nadie a comprado todavia yogures naturales ,2
"realmente, eso no es un conejo, tiene pinta de rata y no es coa ",2
os creeis que quedan bien los efectos de snap y a mi no m parece asi ,2
me quiero morir para no tener que aguantar esta puta calor ,2
almenos tu luzu  me haces un poco feliz diciendo eso pero mas si me respondes esto saludame twlaugh  por favor..!,1
fav si te doy asco y me quieres ver muerto  haber cuantos somos ,-1
en  dias se acaba este largo camino de  aos ,2
a mi me llegas a poner los cuernos y posiblemente no vivas pa contarlo porque te arranco la puta cabeza ,2
el dia que nina simone dejo de cantar deberia ser best seller por lo menos ,1
em diez dias hace dos aos desde que elsa tenia el pelo rapado por un lado ,-1
finn hudson (glee) -era un lider -super cute -finchel era el otp de la vida -talentoso -  twurl,1
"recordad seguir a todos los del rol! tecnicamente es una norma que nos sigamos todos mutuamente, asi no nos perdemos roles! ",-1
fred y george (hp) -baes  -los mejores -irradian alegria -fred  -la voz de jordi cruz twurl,-1
maana empiezo segundo ds bachillerato  pero me la suda porque el miercoles empiezan las fiesta$$,0
"me quedan  capitulos de la sexta temporada de pll, y no quiero acabarla porque sino hasta que doblen la  no podre ver nada mas ",0
"hoy llegamos al medio millon de subs en el  canal, buen regalo de cumple no? ",1
soy el unico al que le da mal rollo la gente con gafas de sol? es que no sabes si te esta mirando o no y pues ,2
"se busca carter para un peugeot , razon aqui  .. y quizas mas piezas de la parte baja ",-1
eramos pocos.. y pario la coneja  familia numerosa en un momento @ ruralsuite twurl,0
"tenemos que hacer una performance para el viernes, he dicho de adaptar el 'que hases besando a la maldita lisiada??' y no han querido ",2
tengo esa mala costumbre de juzgar a la gente sin conocerla. debo cambiar y lo hare ,2
"bueno, videos de hoy programados, estoy motivado con youtube, el descanso me ha sentado genial ",1
hoy es un dia triste para los isports  alguien sabe que ha pasado? twurl,2
me cago en la puta ola de calor que esta haciendo  haber si nos morimos ,2
todos los mosquitos que no me han picado durante el verano me picaron ayer ,2
martita guapa verde brandon  se que no pega la foto pero  twurl,-1
"este ao la quiniela perfecta de los mundiales da como premio las  skins definitivas, interesante.. ",1
por favor maana me dan la nota del examen sacadme de casa una ultima vez ,2
pili verde agua shawn mendes  se que no pega ni con cola pero no encontre otra  twurl,2
un poquito de musica para esta calurosa noche!  twurl  some music for this hot night! ,-1
y por que con el morado o azul no pasa lo mismo? seria genial cagar de colores ,0
segunda sesion del dia y ahora ya voy notando la adaptacion  muy comodo  en ocasiomes hago twurl,1
me gustaria que movistar no me deje colgado sin internet despues de haberme ido de orange ,2
"mi padre esta poniendo la musica mas alta que yo, esto no puede ser ",2
la gente que te llama pequea y solo te llevas un ao?? de que vais?? ,2
"sabes que has madurado, cuando lo mejor de ti solo lo compartes con quien se lo merece. ",1
venga.. en el proximo tweet os muestro el equipo con el que hare el modo carrera en fifa  ,-1
"molaba mas editar con gimp, quedaba el triple de cutre ",0
"vale mi cuenta de twitter a llegado a lo mejor, me sigue una psicologa cristiana ",1
ultimamente estoy  y no me gusta estar  deberia estar  pero no puedo estar  porque estoy  y eso me hace estar mas  sabeis ,2
desde que he vuelto a mi casa se llevan todos bien porque cada vez que pasa algo me echan la culpa a mi y se quedan tan tranquilos ,1
supongo que las preocupaciones forman parte de ser adulto ,2
"pero como no tengo una puta mierda en comun pues nadie me mete para ningun grupo ni nada, claro ",2
"yo toda convencida de que empezaba el lunes que viene las clases y no, empiezo en tres dias ",0
lo gracioso va a ser cuando llegue el  a madrid y no pueda dormir porque tendre el horario cambiado ,2
tenemos nueva actualizacion en f ! muchos cambios y mejoras  twurl,1
madrid tiene un calor especial hoy. especialmente hijo de puta ,2
lo peor es que en mi instituto solo hay plazas para bachillerato de ciencias o ciencias sociales justo lo que no quiero ,2
"con este dia, cuatro y el tambor en la playa. que mala es la vuelta a la rutina para algunos.. ",2
esta tarde me compro el primer libro de biblioteca mitologica que solo cuesta . ya los demas no que son casi  ,0
creo que cuando llegue al penultimo capitulo de la serie y lo termine no voy a querer ver el ultimo porque no quiero que se acabe ,2
un gilipollas se me ha cruzado entero en una rotonda  y ya le estaba viendo que lo iba a hacer,2
lo que mas odio de ir al centro es cuando cojo el bus sola  vaya aburrimiento me siento sola,2
esque to da calor y encima las cosas que me quedan flama estan sucias ,2
le he estado dando vueltas todo el rato al tema de dongwoo  espero que haya sido decision propia,-1
se me a escapao un dragonite y arcanie sin nivel con bayas frambu y superball ,2
entramos en el mes de septiembre con las pilas cargadas!! bienvenidos de nuevo a vuestra clinica dental de confianza ,1
quiero colgar mi primero video de youtube pero no tengo tiempo twlaugh  .,2
